name_id,species,name,note
nm_0118,"Loligo vulgaris",Kalamar,"Same root as Arabic قلم qalam and Turkish kalem (pen)"
nm_0119,"Loligo vulgaris","Καλαμάρι","Refers to the ink, like a reed pen"
nm_0120,"Loligo vulgaris","حبار","Term used for both squid and cuttlefish. Named for ink used with reed pens."
nm_0125,"Sepia officinalis","حبار","Term used for both squid and cuttlefish. Named for ink used with reed pens."
nm_0126,"Sepia officinalis","سبيط","Egyptian term for cuttlefish"
nm_0131,"Sardina pilchardus","European pilchard","Named for fish from Sardinia"
nm_0132,"Umbrina cirrosa","Kötek","Black Sea dialect name for shi drum (minekop/karakulak)"
nm_0133,"Umbrina cirrosa",Minekop,"Regional coastal name for shi drum"
nm_0134,"Umbrina cirrosa",Karakulak,"Refers to dark gill area"
nm_0135,"Umbrina cirrosa","Μυλοκόπι","Traditional name for shi drum"
nm_0136,"Umbrina cirrosa","غراب","Name for shi drum"
nm_0138,"Umbrina cirrosa","Götek","Black Sea dialect name for shi drum. Variant of kötek."
nm_0140,"Salmo salar",Lohi,"Cognate with Estonian lõhi"
nm_0141,"Perca fluviatilis",Ahven,"Cognate with Estonian ahven, Hungarian related forms. Finland's national fish."
nm_0142,"Esox lucius",Hauki,"Cognate with Estonian haug, Hungarian csuka"
nm_0143,"Sander lucioperca",Kuha,"Cognate with Estonian koha. Prized for its white, flaky flesh."
nm_0144,"Salmo trutta",Taimen,"Cognate with Estonian taimen"
nm_0145,"Coregonus lavaretus",Siika,"Cognate with Estonian siig. Important food fish in Finnish cuisine."
nm_0146,"Coregonus albula",Muikku,"A Finnish delicacy, especially fried (paistettu muikku)"
nm_0147,"Lota lota",Made,"Cognate with Estonian made. The only freshwater cod family member."
nm_0148,"Abramis brama",Lahna,"Cognate with Estonian latikas. Common in nutrient-rich Finnish lakes."
nm_0149,"Rutilus rutilus","Särki","Cognate with Estonian särg. Most common cyprinid in Finland."
nm_0150,"Osmerus eperlanus",Kuore,"Also called norssi. Known for its cucumber-like smell."
nm_0151,"Clupea harengus membras",Silakka,"Baltic Sea subspecies of Atlantic herring"
nm_0152,"Gymnocephalus cernua",Kiiski,"Cognate with Estonian kiisk"
nm_0153,"Scardinius erythrophthalmus",Sorva,"Known for its red fins, considered one of Finland's most beautiful fish"
nm_0155,"Leuciscus idus","Säyne","Cognate with Estonian säinas. Large cyprinid often mistaken for large roach."
nm_0156,"Blicca bjoerkna",Pasuri,"Resembles lahna (bream) but smaller with proportionally larger eyes"
nm_0157,"Carassius carassius",Ruutana,"Can survive in oxygen-poor conditions by producing alcohol in its tissues"
nm_0158,"Tinca tinca",Suutari,"Named for its dark, leathery appearance"
nm_0159,"Gasterosteus aculeatus",Kolmipiikki,"Descriptive of its three dorsal spines"
nm_0160,"Perca fluviatilis","European perch","Via Old French perche."
nm_0161,"Esox lucius","Northern pike","Named for its pointed snout."
nm_0162,"Sander lucioperca",Pikeperch,"Named for pike-like body and perch family. Also called zander."
nm_0163,"Sander lucioperca",Zander,"Possibly related to sand (its habitat preference)."
nm_0164,"Salmo trutta","Brown trout","Via Old English truht. Brown refers to coloration."
nm_0165,"Coregonus lavaretus","European whitefish","Named for its white flesh. A salmonid across northern Europe."
nm_0166,"Coregonus albula",Vendace,"A small whitefish species prized in Nordic cuisine."
nm_0167,"Lota lota",Burbot,"Named for bottom-dwelling habits. The only freshwater cod."
nm_0168,"Abramis brama","Common bream","Of Germanic origin. Also called bronze bream for its coloration."
nm_0169,"Rutilus rutilus","Common roach","Possibly related to Latin rubeus (red), referring to red fins."
nm_0170,"Osmerus eperlanus","European smelt","Known for its distinctive cucumber-like odor when fresh."
nm_0171,"Clupea harengus membras","Baltic herring","A smaller subspecies of Atlantic herring endemic to the brackish Baltic Sea."
nm_0172,"Gymnocephalus cernua",Ruffe,"Named for its spiny dorsal fin."
nm_0173,"Scardinius erythrophthalmus",Rudd,"Named for its distinctive red fins."
nm_0174,"Alburnus alburnus",Bleak,"Named for its pale, silvery coloration."
nm_0175,"Leuciscus idus",Ide,"Also called orfe (golden variety). A large cyprinid."
nm_0176,"Blicca bjoerkna","White bream","Named for silvery-white coloration, distinct from bronze/common bream."
nm_0177,"Carassius carassius","Crucian carp","Can survive frozen into ice and low-oxygen conditions."
nm_0178,"Tinca tinca",Tench,"Via Old French tenche. Known for its slimy, mucus-covered skin."
nm_0179,"Gasterosteus aculeatus","Three-spined stickleback","Named for three dorsal spines. Famous for mating behavior studied by Tinbergen."
nm_0180,"Oncorhynchus mykiss",Kirjolohi,"Named for its colorful spotted appearance. Introduced from North America."
nm_0181,"Oncorhynchus mykiss","Rainbow trout","Named for the colorful pink-red stripe along its lateral line."
nm_0182,"Epinephelus aeneus",Orfoz,"Common Turkish name for grouper. Also used broadly for large reef fish."
nm_0183,"Dicentrarchus labrax",Levrek,"Most common Turkish name for sea bass"
nm_0184,"Dicentrarchus labrax","Λαβράκι","Traditional Greek name"
nm_0185,"Dicentrarchus labrax","قاروص","Arabic name for sea bass"
nm_0186,"Dicentrarchus labrax","European sea bass","Distinct from North American freshwater bass (Micropterus). Also written as ""European seabass"" (one word) in scientific literature."
nm_0187,"Epinephelus aeneus",Lagos,"Alternate Turkish name for grouper"
nm_0188,"Epinephelus aeneus",Lahoz,"Alternate Turkish name for grouper"
nm_0189,"Diplodus vulgaris",Fangri,"Common Aegean name"
nm_0190,"Diplodus vulgaris","Sarıağız","Literally yellow-mouth"
nm_0191,"Diplodus vulgaris","Φαγκρί","Traditional Greek name"
nm_0192,"Diplodus vulgaris","Two-banded seabream","Named for two dark bands on body"
nm_0193,"Diplodus sargus",Sargoz,"Common Turkish name"
nm_0196,"Oblada melanura",Melanur,"From Greek word for black-tail"
nm_0197,"Oblada melanura","Μελανούρι","Literally black-tail. Sometimes incorrectly applied to Black seabream (Σκαθάρι) due to similar coloring."
nm_0198,"Oblada melanura","Saddled seabream","Named for dark spot near tail"
nm_0199,"Lichia amia",Akya,"True Akya is Lichia amia (Leerfish). Small head, triangular body, Z-shaped eye markings. Rarely caught - does not bite baited bottom rigs. Often confused with Sarıkuyruk (Seriola dumerili) which fishermen commonly call ""Akya"" due to true Akya being rare. Also known as: Lecha (Spanish), Liccia (Italian)."
nm_0200,"Seriola dumerili","Μαγιάτικο","May fish - appears in May"
nm_0201,"Seriola dumerili","Greater amberjack","Large pelagic predator"
nm_0202,"Trachinus draco",Trakonya,"Venomous spines on dorsal fin"
nm_0203,"Trachinus draco","Δράκαινα","Named for venomous spines"
nm_0204,"Trachinus draco","Greater weever","Venomous coastal fish"
nm_0205,"Perca fluviatilis",Abborre,"Cognate with German Barsch"
nm_0206,"Esox lucius","Gädda","Named for its pointed snout"
nm_0207,"Sander lucioperca","Gös","Prized game fish in Sweden"
nm_0208,"Salmo salar",Lax,"Cognate with German Lachs, English lox"
nm_0209,"Salmo trutta","Öring","Named for gravel beds where trout spawn"
nm_0210,"Coregonus lavaretus",Sik,"Source of Finnish siika (borrowed)"
nm_0211,"Coregonus albula","Siklöja","Describes this small whitefish species"
nm_0212,"Lota lota",Lake,"Named for its slimy skin"
nm_0213,"Abramis brama",Braxen,"Cognate with German Brassen, Brachse"
nm_0214,"Rutilus rutilus","Mört","Possibly describing the soft flesh"
nm_0215,"Osmerus eperlanus",Nors,"Known for its cucumber-like smell. Also called slom in some dialects."
nm_0216,"Clupea harengus membras","Strömming","Named for schooling behavior in currents. Baltic herring."
nm_0217,"Gymnocephalus cernua","Gärs","Named for its spiny fins. Also called snorgärs (slimy ruffe)."
nm_0218,"Scardinius erythrophthalmus",Sarv,"Known for red fins and golden scales"
nm_0219,"Alburnus alburnus","Löja","Named for its silvery, shiny scales"
nm_0220,"Leuciscus idus",Id,"The golden variety is called guldid (golden ide)"
nm_0221,"Blicca bjoerkna","Björkna","Named for silvery color resembling birch bark"
nm_0222,"Carassius carassius",Ruda,"Possibly named for coloration"
nm_0223,"Tinca tinca",Sutare,"Same naming metaphor as Finnish suutari"
nm_0224,"Gasterosteus aculeatus",Storspigg,"Distinguished from småspigg (nine-spined stickleback)"
nm_0225,"Oncorhynchus mykiss","Regnbåge","Named for colorful pink-red lateral stripe"
nm_0226,"Scomber colias",Kolyoz,"Black Sea chub mackerel. Migrates to Marmara."
nm_0227,"Scomber colias","Κολιός","Traditional Greek name"
nm_0229,"Scophthalmus maximus",Kalkan,"13th-century Turkish texts used kalkan for shield. Fish named for round flat shape."
nm_0230,"Scophthalmus maximus",Turbot,"Prized flatfish"
nm_0231,"Scophthalmus maximus","Καλκάνι","Borrowed from Turkish"
nm_0232,"Belone belone",Zargana,"Green-spined fish. Season: Sep-Nov."
nm_0233,"Belone belone",Sargan,"Aegean variant of zargana"
nm_0234,"Belone belone",Garfish,"Named for pointed snout"
nm_0235,"Belone belone","Ζαργάνα","Traditional Greek name"
nm_0236,"Merlangius merlangus",Mezgit,"Common Black Sea fish. Year-round catch."
nm_0237,"Merlangius merlangus",Laho,"Trabzon, Rize regional name for mezgit"
nm_0239,"Merlangius merlangus","Μπακαλιάρος","Greek name for whiting"
nm_0240,"Alosa pontica","Tiriça","Trabzon name. Migrates upstream to spawn."
nm_0241,"Alosa pontica",Tirsi,"Giresun, Istanbul variant"
nm_0242,"Alosa pontica","Pontic shad","Migrates up to 567km in Don River"
nm_0243,"Sprattus sprattus","Çaça","Small schooling fish"
nm_0245,"Engraulis encrasicolus",Hamsi,"Iconic Black Sea fish. Cultural importance in Trabzon region."
nm_0246,"Engraulis encrasicolus","Γαύρος","Traditional Greek name"
nm_0247,"Engraulis encrasicolus","European anchovy","Major commercial species"
nm_0248,"Trachurus trachurus","Karagöz istavriti","Large variant 25+ cm"
nm_0249,"Trachurus trachurus","Kraça","Very small istavrit"
nm_0250,"Trachurus trachurus",Sipar,"Rize dialect name for istavrit"
nm_0251,"Sarda sarda",Torik,"Large palamut. Black Sea name."
nm_0252,"Sarda sarda",Sivri,"Pointed snout variant name"
nm_0253,"Mugil cephalus","Topbaş kefal","Common mullet 200g-3kg"
nm_0254,"Chelon aurata","Altınbaş kefal","Golden-marked variety. Scarce."
nm_0255,"Mugil cephalus",Gambot,"Small mullet under 200g"
nm_0256,"Platichthys flesus",Pisi,"Common Black Sea flatfish"
nm_0257,"Platichthys flesus","Pisi balığı","Aegean name"
nm_0259,"Scorpaena porcus","Kayabalığı","Rock-dwelling fish"
nm_0260,"Scorpaena porcus","İskorpit","Named for venomous spines"
nm_0261,"Scorpaena porcus","Maroşkil","Colorful 15-20cm variant. Hopa region."
nm_0262,"Scorpaena porcus","Σκορπίνα","Traditional Greek name"
nm_0263,"Scorpaena porcus","Black scorpionfish","Venomous spines"
nm_0264,"Osmerus eperlanus",Norssi,"Dialectal variant of kuore"
nm_0265,"Osmerus eperlanus",Kurvi,"Regional dialectal variant of kuore"
nm_0266,"Osmerus eperlanus","Siniäinen","Named for bluish tint of fresh smelt. Regional variant of kuore."
nm_0267,"Clupea harengus membras",Silli,"Often used for prepared/salted herring rather than fresh Baltic herring"
nm_0268,"Perca fluviatilis",Ahven,"Cognate with Finnish ahven - identical form"
nm_0269,"Esox lucius",Haug,"Cognate with Finnish hauki - shows Finnic sound correspondence"
nm_0270,"Sander lucioperca",Koha,"Cognate with Finnish kuha - Estonian o corresponds to Finnish u"
nm_0271,"Salmo salar","Lõhi","Cognate with Finnish lohi - Estonian õ corresponds to Finnish o"
nm_0272,"Coregonus lavaretus",Siig,"Cognate with Finnish siika"
nm_0273,"Lota lota",Made,"Cognate with Finnish made - identical form"
nm_0274,"Abramis brama",Latikas,"Compare Finnish lahna - different Finnic development"
nm_0275,"Rutilus rutilus","Särg","Cognate with Finnish särki"
nm_0276,"Clupea harengus membras","Räim","Compare Finnish silakka (Swedish loan) - räim is native Finnic"
nm_0277,"Salmo trutta",Forell,"Also: meriforell (sea trout)"
nm_0278,"Gymnocephalus cernua",Kiisk,"Cognate with Finnish kiiski - nearly identical form"
nm_0279,"Tinca tinca",Linask,"Compare Finnish suutari (cobbler) - different naming metaphor"
nm_0280,"Carassius carassius",Koger,"Compare Finnish ruutana"
nm_0282,"Salmo salar",Luossa,"Central to Sami culture and fishing traditions along rivers like Tana/Deatnu"
nm_0283,"Perca fluviatilis",Vuoskku,"European perch - important freshwater fish in Sápmi region"
nm_0284,"Esox lucius","Hávga","Compare Finnish hauki, Swedish gädda"
nm_0285,"Coregonus lavaretus","Čuovža","Important food fish in Sami tradition"
nm_0293,"Coregonus albula",Mujka,"Finland-Swedish borrowing. Differs from Sweden-Swedish siklöja."
nm_0299,"Gymnocephalus cernua",Gers,"Spelling variant of Sweden-Swedish gärs"
nm_0308,"Salmo trutta",Meritaimen,"Sea-run anadromous form of brown trout (Salmo trutta)"
nm_0309,"Salmo trutta","Havsöring","Sea-run anadromous form of brown trout"
nm_0311,"Salmo trutta","Sea trout","Sea-running anadromous form of brown trout (Salmo trutta)"
nm_0312,"Boops boops","Γόπα","Small fish, often fried whole"
nm_0313,"Coris julis","Γύλος","Colorful wrasse, not typically eaten"
nm_0314,"Serranus scriba","Πέρκα","Painted comber, small reef fish"
nm_0315,"Serranus cabrilla","Χάνος","Comber, common in rocky areas"
nm_0316,"Chromis chromis","Καλόγρια","Named for dark coloration resembling nun's habit"
nm_0317,"Lithognathus mormyrus","Μούρμουρα","Striped seabream, prized eating fish"
nm_0318,"Sparisoma cretense","Σκάρος","Mediterranean parrotfish, historically prized by ancient Greeks"
nm_0319,"Muraena helena","Σμέρνα","Mediterranean moray, feared but eaten in antiquity"
nm_0320,"Spicara smaris","Μαρίδα","Picarel, very popular fried whole in tavernas"
nm_0321,"Epinephelus marginatus","Ροφός","Dusky grouper, now protected species in many areas"
nm_0322,"Conger conger","Μούγκρι","European conger eel"
nm_0323,"Xiphias gladius","Ξιφίας","Swordfish, named for sword-like bill"
nm_0324,"Thunnus thynnus","Τόνος","Bluefin tuna, highly valued"
nm_0325,"Zeus faber","Χριστόψαρο","John Dory, named for dark spot said to be St. Peter's thumbprint"
nm_0326,"Atherina hepsetus","Αθερίνα","Sand smelt, fried whole as mezze"
nm_0327,"Chelidonichthys lastoviza","Καπόνι","Gurnard, used in fish soup"
nm_0328,"Boops boops",Bogue,"Small Mediterranean seabream"
nm_0336,"Spicara smaris",Picarel,"Also called blotched picarel"
nm_0337,"Epinephelus marginatus","Dusky grouper","Protected species"
nm_0340,"Thunnus thynnus","Atlantic bluefin tuna","Highly prized, overfished"
nm_0341,"Zeus faber","John Dory","Also called St. Peter's fish"
nm_0343,"Chelidonichthys lastoviza","Streaked gurnard","Named for grunting sound"
nm_0344,"Sarda sarda",Vonoz-Gaco,"Smallest bonito size class (0-20 cm)"
nm_0345,"Sarda sarda","Çingene palamutu","Second smallest bonito size class (20-30 cm)"
nm_0346,"Sarda sarda","Kestane palamutu","Medium-large bonito (40-50 cm)"
nm_0347,"Sarda sarda","Altıparmak","Large bonito (65-70 cm) - name refers to traditional finger-width measurement"
nm_0348,"Sarda sarda","Zindan delen","Largest bonito size class (70+ cm)"
nm_0349,"Thunnus thynnus",Orkinos,"Atlantic bluefin tuna - highly valued commercial species in Turkish Mediterranean fishing"
nm_0350,"Alburnus alburnus",Viidikas,"Bleak - small silver-sided freshwater fish"
nm_0351,"Blicca bjoerkna",Nurg,"White bream"
nm_0352,"Coregonus albula","Rääbis","Vendace - important food fish in Estonian lakes"
nm_0353,"Gasterosteus aculeatus",Ogalik,"Three-spined stickleback"
nm_0354,"Leuciscus idus","Säinas","Ide - carp family freshwater fish"
nm_0355,"Osmerus eperlanus",Tint,"European smelt"
nm_0356,"Scardinius erythrophthalmus","Roosärg","Rudd - beautifully colored freshwater fish"
nm_0357,"Alosa pontica","Ρέγγα του Πόντου","Pontic shad - Black Sea herring species"
nm_0358,"Platichthys flesus","Γλώσσα","European flounder - flatfish"
nm_0359,"Sprattus sprattus","Παπαλίνα","European sprat - small schooling fish"
nm_0360,"Belone belone","خرمان","Garfish - long needle-like fish"
nm_0361,"Diplodus sargus","سرغوس","White seabream"
nm_0362,"Engraulis encrasicolus","أنشوفة","European anchovy"
nm_0363,"Scomber colias","ماكريل","Chub mackerel - not commonly known in Egypt per local sources"
nm_0364,"Scorpaena porcus","عقرب البحر","Black scorpionfish - named for venomous spines"
nm_0365,"Trachinus draco","تنين البحر","Greater weever - venomous fish"
nm_0366,"Scophthalmus maximus","سمك موسى","Turbot - flatfish"
nm_0367,"Dicentrarchus labrax","λάβραξ","Source of Latin labrax and modern scientific name"
nm_0368,"Thunnus thynnus","θύννος","Source of Latin thunnus"
nm_0369,"Scomber scombrus","σκόμβρος","Source of Latin scomber and scientific name"
nm_0370,"Perca fluviatilis","πέρκη","Source of Latin perca"
nm_0371,"Anguilla anguilla","ἔγχελυς","Source of Latin anguilla"
nm_0372,"Mugil cephalus","κέφαλος","Source of scientific name Mugil cephalus"
nm_0373,"Mullus barbatus","τρίγλη","Highly prized in ancient Rome"
nm_0374,"Diplodus sargus","σάργος","Source of scientific name Diplodus sargus"
nm_0375,"Engraulis encrasicolus","ἀφύη","Used for various small fish"
nm_0376,"Sarda sarda","πηλαμύς","Source of modern Greek παλαμίδα"
nm_0377,"Solea solea","βούγλωσσος","Source of modern Greek γλώσσα"
nm_0378,"Homarus gammarus","ἀστακός","Source of modern Greek αστακός"
nm_0379,"Melicertus kerathurus","καρίς","Source of modern Greek γαρίδα"
nm_0380,"Octopus vulgaris","πολύπους","Source of English polypus and modern Greek χταπόδι"
nm_0381,"Loligo vulgaris","τευθίς","Related to τεῦθος"
nm_0382,"Sepia officinalis","σηπία","Source of scientific name Sepia"
nm_0383,"Squalus acanthias","γαλεός","General term for small sharks"
nm_0384,"Squatina squatina","ῥίνη","Critically endangered today"
nm_0385,"Dentex dentex","συναγρίς","Source of modern Greek συναγρίδα"
nm_0386,"Pagrus pagrus","φάγρος","Source of modern Greek φαγκρί"
nm_0387,"Scorpaena porcus","σκορπίος","Source of modern Greek σκορπίνα"
nm_0388,"Muraena helena","μύραινα","Source of Latin muraena and scientific name"
nm_0389,"Sparus aurata","χρύσοφρυς","Describes gold spot between eyes; source of scientific Chrysophrys"
nm_0390,"Oblada melanura","μελάνουρος","Source of modern Greek μελανούρι"
nm_0391,"Sarpa salpa","σαλπή","Source of scientific name Sarpa salpa"
nm_0392,"Trachurus trachurus","σαῦρος","Source of modern Greek σαυρίδι"
nm_0393,"Spicara smaris","μαινίς","Source of modern Greek μαρίδα"
nm_0394,"Mugil cephalus","κεστρεύς","Alternative ancient name for mullet"
nm_0395,"Epinephelus marginatus","ὀρφός","Source of modern Greek ροφός"
nm_0396,"Seriola dumerili","Sarıkuyruk","Also called ""kuzu balığı"" (lamb fish). Can reach 70-80 kg. Large head, oval body. Fishermen often incorrectly call this ""Akya"" because true Akya (Lichia amia) is rare. Fishing regulated: min 30cm, 1 per person, closed season April 15 - May 15."
nm_0397,"Seriola dumerili","Kuzu balığı","Alternate name for Sarıkuyruk (yellowtail amberjack). Used interchangeably in some regions."
nm_0399,"Mugil cephalus","κέφαλος","Large-headed fish. Modern Greek name for mullet."
nm_0400,"Mugil cephalus","στειράδια","Male κέφαλος. Harvested August-September. Grilled butterflied as πετάλι (petali)."
nm_0401,"Mugil cephalus","μπάφες","Female κέφαλος with roe. Source of αυγοτάραχο (avgotaracho/bottarga)."
nm_0402,"Chelon aurata","μυξινάρι","Golden grey mullet. Distinguished by gold spots on gill covers."
nm_0403,"Liza ramada","μαυράκι","Thinlip mullet. Darker coloration than κέφαλος."
nm_0404,"Mugil cephalus","İlarya","Juvenile kefal, under 300g."
nm_0405,"Palinurus elephas",Langust,"Also called dikenli ıstakoz (spiny lobster). 25-30cm typical. Named for long antennae resembling locusts."
nm_0406,"Ostrea edulis","İstiridye","Soft interior despite hard shell. Found in Aegean waters."
nm_0407,"Pecten jacobaeus","Deniz tarağı","Named for comb-like ridges on shell. Expensive delicacy. 15-20cm typical size."
nm_0408,"Mytilus galloprovincialis",Midye,"Most consumed shellfish in Turkey. Key ingredient in midye dolma."
nm_0409,"Chamelea gallina","Kum midyesi","Named for habitat in sandy seabeds. Also called beyaz kum midyesi (white sand clam)."
nm_0410,"Palinurus elephas","European spiny lobster","Also called Mediterranean lobster, common spiny lobster. Named for prominent spines. Lacks claws unlike true lobsters."
nm_0411,"Ostrea edulis","European flat oyster","Native European species. Also called Belon oyster. Named for flatter profile vs Pacific oysters."
nm_0412,"Pecten jacobaeus","Mediterranean scallop","Also called great Mediterranean scallop, pilgrim scallop (jacobaeus = of Saint James)."
nm_0413,"Mytilus galloprovincialis","Mediterranean mussel","Named because shape resembled a mouse. Cosmopolitan species. Important aquaculture species."
nm_0414,"Chamelea gallina","Striped venus clam","Also called striped venus, banded carpet shell. Important commercial fishery species."
nm_0415,"Homarus gammarus","Αστακός","In colloquial modern Greek, sometimes applied to spiny lobster (Palinurus elephas) due to commercial prevalence in Mediterranean, but etymologically refers to clawed lobster."
nm_0416,"Ostrea edulis","Στρείδι","Named for hard shell. European flat oyster. Filter feeder."
nm_0417,"Pecten jacobaeus","Χτένι","Named for comb-like ridges on shell. Mediterranean scallop. Also called κοχύλι Αγίου Ιακώβου (Saint James shell)."
nm_0418,"Mytilus galloprovincialis","Μύδι","Named because shape resembled a mouse. Same root as English muscle. Common in Greek cuisine."
nm_0419,"Chamelea gallina","Αχιβάδα","Venus clam. Found in sandy bottoms."
nm_0420,"Astacus astacus",Rapu,"Indigenous Finnish term. The only large native decapod crustacean in Finland."
nm_0421,"Astacus astacus",Jokirapu,"River crayfish. Also called European crayfish, noble crayfish."
nm_0422,"Pandalus borealis",Katkarapu,"Northern shrimp. Most common shrimp in Finnish markets."
nm_0423,"Mytilus edulis",Simpukka,"Generic term for bivalve mollusks. Also used for clams."
nm_0424,"Mytilus edulis",Sinisimpukka,"Blue mussel. Common in Baltic Sea."
nm_0425,"Octopus vulgaris",Mustekala,"Ink fish. Can refer to octopus, squid, or cuttlefish."
